query_id,query,doc_type,difficulty,ground_truth_answer,source_doc,page_no,section_ref,expected_citations,is_answerable,doc_title,key_terms,confidence,chunk_id,text_used
Q011,"How does the legislative intent, as reflected in the amendments to section 6662, influence the interpretation of the accuracy-related penalty under the Internal Revenue Code of 1986?",act,interpretive,"The legislative intent, as reflected in the amendments to section 6662, particularly the execution of section 1409(b)(1), (2) of Pub. L. 111-152 and section 1219(a)(1), (2) of Pub. L. 109-280, indicates that Congress intended to amend section 6662 of the Internal Revenue Code of 1986, thereby informing the interpretation of the accuracy-related penalty to reflect the probable intent of Congress.",act_sec6662,4,IRC §6662,"act_sec6662, p.4",yes,IRC Section 6662 - Accuracy-Related Penalty,"legislative intent, accuracy-related penalty, Internal Revenue Code of 1986",high,act_sec6662_p4_c8,"1083; Pub. L. 111–147, title V, § 512(a), Mar. 18, 2010, 124 Stat. 110; Pub. L. 111–152, title I, § 1409(b)(1), (2), Mar. 30, 2010, 124 Stat. 1068, 1069; Pub. L. 113–295, div. A, title II, § 208(a), Dec. 19, 2014, 128 Stat. 4028; Pub. L. 114–41, title II, § 2004(c), July 31, 2015, 129 Stat. 456; Pub..."
Q012,"How should the amendment to IRC §121, which directs the redesignation of paragraph (9) as (10) and adds a new paragraph (9), be interpreted in light of the fact that subsection (d) did not contain a paragraph (9) at the time of the amendment?",act,interpretive,"The amendment should be interpreted to reflect the probable intent of Congress, which is to redesignate as paragraph (10) the paragraph (9) directed to be added to subsection (d) of this section by Pub. L. 107–16, § 542(c), (f)(1), applicable to estates of decedents dying after Dec. 31, 2009, as stated on page 5 of the document.",act_sec121,5,IRC §121,"act_sec121, p.5",yes,IRC Section 121 - Home Sale Exclusion,"redesignation, amendment, probable intent of Congress",high,act_sec121_p5_c11,"of this sec- tion be amended by redesignating paragraph (9) as (10) and adding a new paragraph (9), effective as if included in the amendments made by section 312 of the Taxpayer Relief Act of 1997, Pub. L. 105–34, could not literally be executed insofar as it directed the redesignation be- cause su..."
Q013,What did Justice Cardozo describe as a struggle to find a verbal formula to supply a ready touchstone for?,judgment,factual,an “ordinary and necessary” expense in business,judgment_14_commissioner_v_duberstein,7,,"judgment_14_commissioner_v_duberstein, p.7",yes,Commissioner v. Duberstein (1960),"Justice Cardozo, ordinary and necessary expense",high,judgment_14_commissioner_v_duberstein_p7_c7,"The former issue make the tax tribunals the most investigators of an frequent important and difficult issue and States, inquiry of the laws of the several the latter of problem would summon one difficult delicate fed- and as an aid to of another.9 Or per- eral tax law the solution haps there require..."
Q014,"How does the coordination with minimum tax under section 55 affect the determination of qualified business income for purposes of the deduction under subsection (a), and what implications does this have for taxpayers subject to alternative minimum taxable income?",act,interpretive,"The determination of qualified business income is made without regard to any adjustments under sections 56 through 59 for purposes of determining alternative minimum taxable income under section 55, which suggests that the alternative minimum tax calculations will not account for the qualified business income deduction adjustments, potentially affecting taxpayers' overall tax liability.",act_sec199A,4,IRC §199A,"act_sec199A, p.4",yes,IRC Section 199A - Qualified Business Income Deduction,"qualified business income, alternative minimum taxable income, coordination with minimum tax",high,act_sec199A_p4_c8,"any taxpayer described in clause (i), the determination of W–2 wages of such taxpayer with respect to any quali- fied trade or business conducted in Puerto Rico shall be made without regard to any exclusion under section 3401(a)(8) for remu- neration paid for services in Puerto Rico. (2) Coordinatio..."
Q015,What is the name of the case listed at number 11 in the provided text?,judgment,factual,Cheek v United States,failed,1,,"failed, p.1",yes,Failed,"case, Cheek v United States",high,failed_p1_c1,08|Gregory v Helvering|cluster_not_found 09|Cottage Savings Association v Commissioner|cluster_not_found 11|Cheek v United States|cluster_not_found 12|United States v Kirby Lumber Co|cluster_not_found 13|Farid-Es-Sultaneh v Commissioner|cluster_not_found 14|Commissioner v Duberstein|cluster_not_foun...
Q016,"What is the effective period for the amendments made by Pub. L. 115–97, and how does this relate to the substitution made by Pub. L. 105–277 in subsec. (b)(3) regarding casualty or theft losses?",act,multi_hop,"The effective period for the amendments made by Pub. L. 115–97 is any taxable year beginning after December 31, 2017, and before January 1, 2026, as stated on page 460. This period is relevant to the substitution made by Pub. L. 105–277 in subsec. (b)(3), which changed the description of losses to 'for casualty or theft losses described in paragraph (2) or (3) of section 165(c) or for losses described in section 165(d)', indicating a connection between the amendment periods and the specific loss descriptions allowed for deduction.",act_sec67,2,IRC §67,"act_sec67, p.2",yes,IRC Section 67 - Miscellaneous Itemized Deductions,"Pub. L. 115–97, Pub. L. 105–277, section 165(c), section 165(d)",high,act_sec67_p2_c3,"Page 460 TITLE 26—INTERNAL REVENUE CODE § 68 any taxable year beginning after December 31, 2017, and before January 1, 2026. (Added Pub. L. 99–514, title I, § 132(a), Oct. 22, 1986, 100 Stat. 2113; amended Pub. L. 100–647, title I, § 1001(f), title IV, § 4011(a), Nov. 10, 1988, 102 Stat. 3351, 3655;..."
Q017,"What is the appropriate balance between the jury's role and the reviewing court's duty, and how does this balance relate to the historical safeguards of the 'inviolate' right to trial by jury?",judgment,multi_hop,"The appropriate balance between the jury's role and the reviewing court's duty is struck by not allowing the appellate court to 'find' facts or substitute its judgment for that of the jury, instead reversing the verdict and remanding for a new trial when it determines that the verdict is against the great weight of the evidence. This balance relates to the historical safeguards of the 'inviolate' right to trial by jury, which are found in the deferential standards of review applied and the prohibition against rendition of judgment upon a factual insufficiency point, as stated on page 7 of the Hernandez v. Commissioner judgment.",judgment_24_hernandez_v_commissioner,7,,"judgment_24_hernandez_v_commissioner, p.7",yes,Hernandez v. Commissioner (1989),"appropriate balance, inviolate right, deferential standards of review",high,judgment_24_hernandez_v_commissioner_p7_c7,"Crim. ProcAnn. art. 44.25. The appropriate balance between the jury’s role as the judge of the facts and the reviewing court’s duty to review criminal convictions is struck by not allowing the appellate court to “find” facts, or substitute its judgment for that of the jury; 19 rather, when it determ..."
Q018,"According to the provided text, what would have been the effect on the amount available for distribution if the liability of the transferor-corporation had been reduced to judgment during the taxable year in which liquidation occurred?",judgment,factual,The amount of the judgment rendered against the corporation would have decreased the amount it had available for distribution,judgment_17_arrowsmith_v_commissioner,3,,"judgment_17_arrowsmith_v_commissioner, p.3",yes,Arrowsmith v. Commissioner (1952),"taxable year, liquidation, judgment",high,judgment_17_arrowsmith_v_commissioner_p3_c3,"year is a separate unit for tax accounting purposes. See <i>United States</i> v. <i>Lewis,</i> 340 U. S. 590. I have not felt, as my dissent in the <i>Lewis</i> case indicates, that the law made that an inexorable <span class=""star-pagination"">*10</span> principle. But if it is the law, we should re..."
Q019,"How does the amendment to Subsec. (l)(1) by Pub. L. 111–152, § 1004(d)(2), affect the deductibility of amounts paid for insurance that constitutes medical care for the taxpayer, his spouse, and dependents, and what implications does this have for the interpretation of 'compensation for personal services actually rendered' in the context of IRC §162?",act,interpretive,"The amendment to Subsec. (l)(1) by Pub. L. 111–152, § 1004(d)(2), generally altered the deduction for amounts paid for insurance that constitutes medical care, now treating such amounts as compensation for personal services actually rendered, which may imply a broader interpretation of 'compensation for personal services actually rendered' to include medical care expenses for the taxpayer and their dependents.",act_sec162,11,IRC §162,"act_sec162, p.11",yes,IRC Section 162 - Trade or Business Expenses,"compensation for personal services, medical care, deductibility",medium,act_sec162_p11_c22,"Page 735 TITLE 26—INTERNAL REVENUE CODE § 162 fordable Care Act shall be treated as an amount for compensation for personal services actually rendered.’’ Subsec. (l)(1). Pub. L. 111–152, § 1004(d)(2), amended par. (1) generally. Prior to amendment, par. (1) author- ized a deduction in an amount equa..."
Q020,"What is the relationship between the capitalization provision of § 263(a) and the depreciation allowance under § 167(a), and how does the priority-ordering directive of § 161 affect the application of these provisions?",judgment,multi_hop,"The capitalization provision of § 263(a) takes precedence over the depreciation allowance under § 167(a) due to the priority-ordering directive of § 161, which states that deductions in Part VI of Subchapter B are subject to the exceptions in Part IX, where § 263 is located. This means that expenditures incurred in acquiring capital assets must be capitalized, even if they might be deductible under Part VI, unless an exception applies.",judgment_30_commissioner_v_idaho_power,9,,"judgment_30_commissioner_v_idaho_power, p.9",yes,Commissioner v. Idaho Power Co. (1974),"§ 263(a), § 167(a), § 161, capitalization, depreciation",high,judgment_30_commissioner_v_idaho_power_p9_c9,"e' as the using up of labor or other items of direct cost.' 26 Finally, the priority-ordering directive of § 161—or, for that matter, § 261 of the Code, 26 U.S.C. § 261 12 —requires that the capitalization provision of § 263(a) take precedence, on the facts here, over § 167(a). Section 161 provides ..."
Q021,"What was the substituted amount for '65' in Subsec. (f)(2)(A) by Pub. L. 105–178, § 9010(c)(1)?",act,factual,$100,act_sec132,6,IRC §132,"act_sec132, p.6",yes,IRC Section 132 - Fringe Benefits,"Subsec. (f)(2)(A), Pub. L. 105–178",high,act_sec132_p6_c12,"108–121, § 103(a), added par. (8). Subsecs. (n), (o). Pub. L. 108–121, § 103(b), added subsec. (n) and redesignated former subsec. (n) as (o). 2001—Subsec. (a)(7). Pub. L. 107–16, § 665(a), added par. (7). Subsecs. (m), (n). Pub. L. 107–16, § 665(b), added subsec. (m) and redesignated former subsec...."
Q022,"What inference can be drawn from the defendants' decision not to provide a correct license, and how does this relate to the meaning of the letter mentioning Tom's arrival and the plan to go south tomorrow?",judgment,multi_hop,"The inference that can be drawn from the defendants' decision not to provide a correct license is a consciousness of guilt. This is related to the meaning of the letter, as the letter's meaning can be inferred by the jury, especially considering the context of the crime, and the fact that only Ruth Elizabeth Chapman could have provided clarity on the letter's meaning, but she chose not to testify.",judgment_22_united_states_v_gilmore,8,,"judgment_22_united_states_v_gilmore, p.8",yes,United States v. Gilmore (1963),"consciousness of guilt, adverse interest, inference",high,judgment_22_united_states_v_gilmore_p8_c8,"fter the crime and why they .didn’t put the correct license down' and-whatever inference you draw you are permitted to draw since they do not - choose to tell you an adverse interest, and I would say, ladies 'and gentlemen, that it is an adverse interest to the defendants. It shows a consciousness o..."
Q023,How does the exception to the partial interest rule for 'qualified conservation contributions' reconcile the general disallowance of deductions for contributions of less than the taxpayer's entire interest in property?,pov,interpretive,"The exception reconciles the general disallowance by allowing a deduction for the contribution of a qualified real property interest to a qualified organization exclusively for conservation purposes, such as conservation easements, which are granted in perpetuity and serve conservation purposes like habitat protection or historic structure preservation.",pov_tf_02_capgains,62,,"pov_tf_02_capgains, p.62",yes,Tax Foundation: 02 Capgains,"qualified conservation contributions, partial interest rule",high,pov_tf_02_capgains_p62_c61,56 General Explanations of the Administration’s Fiscal Year 2023 Revenue Proposals LIMIT A PARTNER’S DEDUCTION IN CERTAIN SYNDICATED CONSERVATION EASEMENT TRANSACTIONS Current Law A charitable contribution deduction is generally allowable for contributions of cash and other property to tax-exempt ch...
Q024,"What are the conditions under which a taxpayer can revoke a § 168(k)(7) election, and how does the revocation apply to depreciable property placed in service during the same taxable year?",pov,multi_hop,"A taxpayer can revoke a § 168(k)(7) election if they made the election on their timely filed original Federal income tax return or Form 1065 for the placed-in-service year of such depreciable property and the return was filed on or before April 17, 2020, or made the election in accordance with section 4 or 5 of Rev. Proc. 2019-33. The revocation applies to all property included in the class of property and placed in service during the same taxable year, as stated in section 5.02(2) of this revenue procedure.",pov_crs_09_depreciation,15,,"pov_crs_09_depreciation, p.15",yes,Crs Report: 09 Depreciation,"§ 168(k)(7) election, depreciable property, Rev. Proc. 2019-33, section 5.02(2)",high,pov_crs_09_depreciation_p15_c15,"15 (1) A taxpayer that (a) placed in service depreciable property during its 2018, 2019, or 2020 taxable year, (b) made a § 168(k)(5) election or § 168(k)(7) election on its timely filed original Federal income tax return or Form 1065 for the placed-in-service year of such depreciable property and s..."
Q025,"What can be inferred about the accessibility of the GAO reports listed, based on the error messages provided?",pov,interpretive,"The error messages suggest that the GAO reports are not accessible due to a failure to resolve the 'www.gao.gov' domain, indicating a potential issue with the connection or the server.",failed_pov,1,,"failed_pov, p.1",yes,Failed Pov,"HTTPSConnectionPool, NameResolutionError, getaddrinfo failed",medium,failed_pov_p1_c1,CRS|pov_crs_01_gross_income.pdf|http_403 CRS|pov_crs_02_business_expense.pdf|http_403 CRS|pov_crs_03_charitable.pdf|http_403 CRS|pov_crs_04_exempt_orgs.pdf|http_403 CRS|pov_crs_05_like_kind.pdf|http_403 CRS|pov_crs_06_capital_gains.pdf|http_403 CRS|pov_crs_07_ira.pdf|http_403 CRS|pov_crs_08_qbi.pdf|...
Q026,How does the estimated coefficient on wealth affect bequests according to the report on page 17 of the Gao Report: 05 Smallbiz?,pov,factual,"The estimated coefficient on wealth is 0.094 with a standard error of 0.009, indicating a positive relationship between wealth and bequests.",pov_gao_05_smallbiz,17,,"pov_gao_05_smallbiz, p.17",yes,Gao Report: 05 Smallbiz,"estimated coefficient, wealth, bequests",high,pov_gao_05_smallbiz_p17_c17,"law in effect in the year of death even though changes in tax regimes are known in advance. This restriction is relaxed later on, where the future tax price is employed. Reflecting the censored nature of the data, FIML Tobit is employed in estimating (8) with results reported in Table 3. Beginning w..."
Q027,"What is the significance of Congress' failure to act on the IRS rulings of 1970 and 1971, and how does this relate to the concept of legislative acquiescence in the context of § 170 and § 501(c)(3)?",judgment,multi_hop,"The significance of Congress' failure to act on the IRS rulings of 1970 and 1971 lies in its implication of legislative acquiescence, where Congress, being aware of the IRS rulings and the denial of tax-exempt status for racially discriminatory schools, has chosen not to modify these rulings despite being constantly reminded of them through public discourse and its own studies, thereby ratifying the 1970 and 1971 rulings by implication, as noted on page 12 of the Bob Jones University v. United States (1983) judgment.",judgment_07_bob_jones_university_v_united_states,12,,"judgment_07_bob_jones_university_v_united_states, p.12",yes,Bob Jones University v. United States (1983),"legislative acquiescence, § 170, § 501(c)(3), IRS rulings",high,judgment_07_bob_jones_university_v_united_states_p12_c12,"ounced its interpretation of § 170 and § 501(c)(3) in 1970 and 1971. 24 D The actions of Congress since 1970 leave no doubt that the IRS reached the correct conclusion in exercising its authority. It is, of course, not unknown for independent agencies or the Executive Branch to misconstrue the inten..."
Q028,"How does the definition of 'receipt' in IRC §61 impact the tax treatment of a qualified taxpayer who has a right to receive, but has not yet actually received, an agricultural commodity under a 1983 payment-in-kind program?",act,interpretive,"According to paragraph (4) of IRC §61, a right to receive (or other constructive receipt of) a commodity is treated the same as actual receipt of such commodity, implying that the qualified taxpayer would be subject to tax on the commodity as if it had been physically received.",act_sec61,2,IRC §61,"act_sec61, p.2",yes,IRC Section 61 - Gross Income Defined,"receipt, constructive receipt, qualified taxpayer",high,act_sec61_p2_c5,"program for the 1983 crop year— ‘‘(A) under which the Secretary of Agriculture (or his delegate) makes payments in kind of any agri- cultural commodity to any person in return for— ‘‘(i) the diversion of farm acreage from the pro- duction of an agricultural commodity, and ‘‘(ii) the devotion of such..."
Q029,What is the title of the section on page 3 of the provided document?,act,factual,IRC §212,act_sec212,3,IRC §212,"act_sec212, p.3",yes,IRC Section 212 - Expenses for Income Production,"IRC §212, page 3",high,act_sec212_p3_c3,Browse • A to Z • Category • Date • Committee • Author About • About • Policies • Authentication • Digital Preservation • History • Agency Submission • U.S. Government Information • FDsys Retirement Developers • Developer Hub • API • Bulk Data Repository • Link Service • Feeds • Sitemaps • System De...
Q030,What are the specific charitable donation limits for individuals under section 451(c) of the tax code?,pov,unanswerable,This information is not available in the provided legal text.,pov_tf_04_charitable,11,,"pov_tf_04_charitable, p.11",no,Tax Foundation: 04 Charitable,"section 451(c), charitable donation limits",unanswerable,pov_tf_04_charitable_p11_c22,"section 451(c). Under section 451(c), the advance payment is included in gross income under the full inclu- sion method or the 1-year deferral method. Expenses Under an accrual method of accounting, you generally de- duct or capitalize a business expense when both the fol- lowing apply. 1. The all-e..."
Q031,What specific tax implications arose from the hedging transactions in the subsequent years following the Corn Products Refining Co. v. Commissioner case?,judgment,unanswerable,This information is not available in the provided legal text.,judgment_19_arkansas_best_corporation_v_commissioner,5,,"judgment_19_arkansas_best_corporation_v_commissioner, p.5",no,Arkansas Best Corp. v. Commissioner (1988),"hedging, tax implications",unanswerable,judgment_19_arkansas_best_corporation_v_commissioner_p5_c5,"nce on its reading of Corn Products Refining Co. v. Commissioner, 350 U.S. 46 , 76 S.Ct. 20, 100 L.Ed. 29 (1955)—a reading we believe is too expansive. In Corn Products, the Court considered whether income arising from a taxpayer's dealings in corn futures was entitled to capital-gains treatment. Th..."
Q032,What are the specific depreciation methods allowed for rental real estate enterprises under section 199A?,pov,unanswerable,This information is not available in the provided legal text.,pov_crs_08_qbi,6,,"pov_crs_08_qbi, p.6",no,Crs Report: 08 Qbi,"section 199A, rental real estate enterprise, depreciation methods",unanswerable,pov_crs_08_qbi_p6_c6,6 revenue procedure provides a safe harbor for treating a rental real estate enterprise as a trade or business solely for purposes of the section 199A deduction. SECTION 3. RULES OF APPLICATION .01 In general. This safe harbor is available to taxpayers who seek to claim the deduction under section 1...
Q033,How did the court in Old Colony Trust Co. v. Commissioner determine the measure of the benefit resulting to the beneficiary from coming into possession or enjoyment of the property after the expiration of a life estate?,judgment,interpretive,The court determined that the measure of the benefit resulting to the beneficiary from coming into possession or enjoyment of the property after the expiration of a life estate is the value of the property at the time of the transferor's death,judgment_02_old_colony_trust_co_v_commissioner,5,,"judgment_02_old_colony_trust_co_v_commissioner, p.5",yes,Old Colony Trust Co. v. Commissioner (1929),"bona fide purchase, full consideration in money or money's worth, life estate",high,judgment_02_old_colony_trust_co_v_commissioner_p5_c5,"le lived together until Wallace’s death in 1927. By this transaction and other gifts made in 1919 with Alice Geldert’s consent, Wallace reduced his property to about $225,000. This court held (pp. 221-225) that there was not “a bona fide purchase for full consideration in money or money’s worth,” al..."
Q034,What variables are included in Xi?,pov,factual,"Xi contains the Marginal Tax Rate, log(Disposable Income), Age, Marital Status, and Number of Children.",pov_gao_04_penalties,10,,"pov_gao_04_penalties, p.10",yes,Gao Report: 04 Penalties,"Marginal Tax Rate, Disposable Income",high,pov_gao_04_penalties_p10_c10,"8 where the dependent variable will represent a deductible IRA contribution in 1997, and either a deductible or Roth IRA contribution in 1998. I will not investigate Roth and deductible contributions separately since many taxpayers were eligible to contribute to both (see Tables 5 and 6). The choice..."
Q035,What is the specific procedure for filing an amended tax return in cases where the taxpayer has claimed a loss on a mortgaged property?,judgment,unanswerable,This information is not available in the provided legal text.,judgment_15_crane_v_commissioner,6,,"judgment_15_crane_v_commissioner, p.6",no,Crane v. Commissioner (1947),,unanswerable,judgment_15_crane_v_commissioner_p6_c6,"million dollar property for roughly one per cent of its value, and took a 99 per cent loss. Actually, petitioner does not urge this. She argues, conversely, that because only $2,500.00 was realized on the sale, the 'property' sold must have been the equity only, and that consequently we are forced t..."
Q036,"What is the interpretation of the term 'gift' in the context of the gift tax statute, and how does this interpretation relate to the treatment of transfers made for consideration, as discussed in the context of estate tax and income tax?",judgment,multi_hop,"The term 'gift' in the gift tax statute is interpreted to include transfers made without consideration, and this interpretation is consistent with the treatment of transfers in the context of estate tax and income tax, as the court finds that a transfer made for consideration is not a gift for gift tax purposes, and that the gift tax statute should be construed to have the same effect as the estate tax and income tax statutes, as seen in the discussion on page 4 of the Farid-Es-Sultaneh v. Commissioner judgment.",judgment_13_faridessultaneh_v_commissioner,4,,"judgment_13_faridessultaneh_v_commissioner, p.4",yes,Farid-Es-Sultaneh v. Commissioner (1947),"gift, gift tax, estate tax, income tax, consideration",high,judgment_13_faridessultaneh_v_commissioner_p4_c4,"orth in admin- pursuant wife the transferor prospective of law, 1932, the istering estate tax Rev.Act of ante-nuptial agreement. to the terms of an 804, Int.Rev.Acts, 642, page 26 U.S.C.A. § transfer, solely being held that the It was provision and in failed to include a such the promise mar- of con..."
Q037,What does gross income include under section 61 of the Code?,pov,factual,"Gross income includes, but is not limited to, compensation for services, gross income derived from business, and gains from dealings in property.",pov_jct_06_capgains,4,,"pov_jct_06_capgains, p.4",yes,Jct Report: 06 Capgains,"gross income, section 61",high,pov_jct_06_capgains_p4_c4,"- 4 - dispose of any interest in the 2 units of M in any manner. The following day, on Date 3, A has the ability to sell, exchange, or otherwise dispose of the 2 units of M.2 LAW Section 61(a) provides the general rule that, except as otherwise provided by subtitle A of the Code, gross income means ..."
Q038,"How does the introduction of the concept of a 'consolidated reporting statement' in section 6045(b) impact the deadline for reporting entities to furnish required payee statements, and what implications does this have for the penalty imposed by section 6722?",pov,interpretive,"The introduction of the concept of a 'consolidated reporting statement' in section 6045(b) allows reporting entities to furnish other required items by the extended deadline when these items are furnished with a consolidated reporting statement, potentially mitigating the penalty imposed by section 6722 for failing to furnish required payee statements by the deadline.",pov_crs_12_hobby_loss,2,,"pov_crs_12_hobby_loss, p.2",yes,Crs Report: 12 Hobby Loss,"consolidated reporting statement, section 6045(b), section 6722",medium,pov_crs_12_hobby_loss_p2_c2,2 language to section 6045(b) to permit reporting entities to furnish other items that they must report to customers in January by the extended deadline when these other items are furnished with a “consolidated reporting statement (as defined in regulations).” There is not yet a regulatory definitio...
Q039,On what date was Pub. L. 97–248 enacted?,act,factual,"September 3, 1982",act_sec163,11,IRC §163,"act_sec163, p.11",yes,IRC Section 163 - Interest Deduction,"Pub. L. 97–248, enactment date",high,act_sec163_p11_c23,"§§ 205(c)(3), 209(a), title XIX, §§ 1901(b)(3)(K), (8)(C), 1906(b)(13)(A), Oct. 4, 1976, 90 Stat. 1535, 1542, 1793, 1794, 1834; Pub. L. 97–248, title II, § 231(b), title III, § 310(b)(2), Sept. 3, 1982, 96 Stat. 498, 596; Pub. L. 97–354, § 5(a)(18), Oct. 19, 1982, 96 Stat. 1693; Pub. L. 98–369, div...."
